PC1 - 74.30%,PC2 - 16.90%,PC3 - 4.20%,Date,Class,Stress_weight,Position
-63.19707553834926,-19.97406198755212,-2.5560023915842622,17-May-2023,Healty,20,38
-94.16766044738982,9.054275590604393,-15.916451107836567,17-May-2023,Healty,20,39
-38.328450719681875,-28.934379204849677,4.952845070601817,17-May-2023,Healty,20,40
-11.362757722161216,22.477337373490634,-14.411189277035913,17-May-2023,Healty,20,42
-59.805464654162854,24.230245109813104,-5.533507462149273,17-May-2023,Healty,20,43
-19.966299333719267,26.41597791977318,-10.586522379485356,17-May-2023,Healty,20,44
-83.75869894528877,43.42754624085422,-23.490552686537722,17-May-2023,Healty,20,45
-33.32187723198365,-23.35121690881246,-11.183527812375281,17-May-2023,Healty,20,56
-42.875750335949625,-20.265710762834914,-14.430051071178795,17-May-2023,Healty,20,58
-71.61575145915788,-5.394438851850698,-23.522230623779947,17-May-2023,Healty,20,60
-49.711707523300745,26.556377172809253,-15.321534773608466,17-May-2023,Healty,20,61
61.60509937352218,-1.1591236214512994,-19.073270859860376,17-May-2023,Healty,20,62
12.94626811090281,10.498683402581646,-4.024206399928552,17-May-2023,Healty,20,63
-44.20485139095704,-14.379932688490879,-29.864040320882047,17-May-2023,Unhealty,20,47
-39.78154856507199,40.221247155592216,-7.238988252993523,17-May-2023,Unhealty,20,48
-37.468699301365014,44.15568900711434,-20.31405104282002,17-May-2023,Unhealty,20,50
-2.618459314322615,48.83873933895744,-42.06392368861246,17-May-2023,Unhealty,20,52
-16.74282034493756,7.405868222968697,-19.900819881003724,17-May-2023,Unhealty,20,53
-54.48802302042437,53.482180890264424,-25.316360174160202,17-May-2023,Unhealty,20,54
34.12813849444967,25.631384942420063,-13.262056806957624,17-May-2023,Unhealty,20,64
-30.788297974664662,11.281801173091191,-23.578378503565006,17-May-2023,Unhealty,20,65
-43.02053668372113,0.5870357890241282,-0.75788397193316,17-May-2023,Unhealty,20,67
-26.082026522150684,27.93951529136967,-24.51096485811016,17-May-2023,Unhealty,20,69
-52.808771888312315,-11.130832733580126,-7.100543375263304,17-May-2023,Unhealty,20,70
69.16515859595178,17.978041683165713,-35.61075961586716,17-May-2023,Unhealty,20,71
-65.9729858047697,38.888050370463226,-9.47458055510503,17-May-2023,Unhealty,20,72
-46.93165745774217,-0.822923005850145,36.1453438665846,19-Jul-2023,Healty,60,145
67.40545873159859,3.4351263682291635,13.365407131381765,19-Jul-2023,Healty,60,147
-44.46753159840313,43.348907695900664,39.13228070496174,19-Jul-2023,Healty,60,148
-55.448959887157244,-0.578344503557677,14.95084041922766,19-Jul-2023,Healty,60,149
11.419859059262935,21.847612809104024,14.63279987227445,19-Jul-2023,Healty,60,151
-16.496471453241373,15.261703107533819,17.713168871964374,19-Jul-2023,Healty,60,152
-25.598860275221973,-0.7821986821160385,-19.471274563817754,19-Jul-2023,Healty,60,153
77.52336663700292,-3.1456633116633417,14.942975557691579,19-Jul-2023,Healty,60,163
-32.27651347868798,-29.79382193140136,44.690079811430856,19-Jul-2023,Healty,60,165
-60.57384659234736,16.789025030413715,20.61710750340114,19-Jul-2023,Healty,60,166
-4.520904226758738,3.1477518387021477,22.730301817999678,19-Jul-2023,Healty,60,167
202.83756391857116,-23.602553345432913,22.126553977592913,19-Jul-2023,Healty,60,171
10.727479950794978,-9.605131443636514,-10.109671971613325,19-Jul-2023,Unhealty,60,154
-89.96307917983859,7.916039700955964,30.62913829955151,19-Jul-2023,Unhealty,60,156
36.57724205829845,45.27808039709545,9.065254528058057,19-Jul-2023,Unhealty,60,159
10.803850457068387,39.948813452229935,11.383495714156853,19-Jul-2023,Unhealty,60,160
-66.57969433363779,47.87298988325451,15.989671367100865,19-Jul-2023,Unhealty,60,162
-26.830195566102063,32.509130593215716,43.67234581748394,19-Jul-2023,Unhealty,60,172
26.389513937202715,20.483581833328145,13.949246497430698,19-Jul-2023,Unhealty,60,173
-34.91826310486395,25.432001519063245,16.275558914775843,19-Jul-2023,Unhealty,60,175
115.55981634513851,24.82616391292633,-6.79577854521551,19-Jul-2023,Unhealty,60,177
133.15578179050922,22.49579935030543,0.8576021344926392,19-Jul-2023,Unhealty,60,179
290.40376112359326,3.2224536306353166,3.88052004544122,19-Jul-2023,Unhealty,60,180
-67.94714164377885,-22.300337452695512,4.1616426354605025,20-Jun-2023,Healty,40,74
-55.04067945095952,-47.914570164445706,2.169358808050184,20-Jun-2023,Healty,40,75
-34.31005286328396,6.448909664066025,0.8879377500434039,20-Jun-2023,Healty,40,76
-54.20265539174322,-3.4564720719397264,0.1876431394843435,20-Jun-2023,Healty,40,77
-39.64733199885749,6.073931250229364,-2.0002546830206382,20-Jun-2023,Healty,40,78
-66.93190616836806,-9.975043349058652,17.495793137900204,20-Jun-2023,Healty,40,79
-74.7357229632182,-39.39336595171997,2.459022534103296,20-Jun-2023,Healty,40,80
5.465489864464731,-33.53433444308466,-9.37741777966942,20-Jun-2023,Healty,40,81
86.49142948839503,-80.06109229121492,14.72027499188166,20-Jun-2023,Healty,40,91
-2.0510867806715676,-52.92520172986121,15.321664018118305,20-Jun-2023,Healty,40,92
-66.34601545278427,-57.27263389104999,17.659060982651386,20-Jun-2023,Healty,40,93
29.193372236669354,-10.380587894609567,-14.479716002419522,20-Jun-2023,Healty,40,95
-88.83043209539011,17.40317449305015,1.420721804942227,20-Jun-2023,Healty,40,97
-103.5446652425198,7.622909412594165,-24.92427620386864,20-Jun-2023,Healty,40,98
81.9084206477037,-50.61670847761526,4.837698794457658,20-Jun-2023,Healty,40,99
-5.266261554986557,-13.473027176816924,1.3082349207152286,20-Jun-2023,Unhealty,40,82
-78.35031830992415,-4.388601525703509,4.281328615043928,20-Jun-2023,Unhealty,40,83
-23.377689264538397,-10.301047834642336,2.1302932166190605,20-Jun-2023,Unhealty,40,84
100.56992066671802,-42.01338047294766,0.6467588841182413,20-Jun-2023,Unhealty,40,86
-111.16265690385482,-7.963295095455498,11.718705708777753,20-Jun-2023,Unhealty,40,87
-91.82287988377374,-21.799382857150025,-29.192352950677353,20-Jun-2023,Unhealty,40,88
-64.21909363309838,-21.213898569766936,-11.872384313353844,20-Jun-2023,Unhealty,40,100
-34.79500714754354,-26.37741661233623,4.8620650758209205,20-Jun-2023,Unhealty,40,101
67.52070235273712,-55.7514457344056,11.61500486287403,20-Jun-2023,Unhealty,40,102
-11.73175287775387,-27.38804853138569,5.657282559523806,20-Jun-2023,Unhealty,40,104
-49.38717588127382,62.19411743485456,-4.597786589662171,20-Jun-2023,Unhealty,40,105
-73.63128366830337,-20.0066022006544,10.374626058245754,20-Jun-2023,Unhealty,40,106
26.00805114794648,-18.755468413285925,15.86031224670855,20-Jun-2023,Unhealty,40,108
30.674278420606306,20.311557914602325,-4.865959169541443,26-Apr-2023,Healty,20,1
33.9120184030867,4.56056564720081,-9.175404784381401,26-Apr-2023,Healty,20,2
117.54019462800122,-18.327973225453434,-27.195447660918997,26-Apr-2023,Healty,20,5
117.32516200393535,-19.046385131460283,-10.052888997349609,26-Apr-2023,Healty,20,6
86.06229274340178,-86.94651917463743,-4.357427930890822,26-Apr-2023,Healty,20,7
11.495452781949268,-23.104364843580747,-2.236086249757984,26-Apr-2023,Healty,20,8
119.86243041693588,-91.99635088448491,9.493926728360885,26-Apr-2023,Healty,20,9
102.18745618447167,4.972247583380725,-31.392145033908047,26-Apr-2023,Healty,20,19
4.728832842120942,22.32305297954995,-4.247773775312158,26-Apr-2023,Healty,20,20
145.0998017106812,-11.42519519382614,-28.972667872241384,26-Apr-2023,Healty,20,21
57.615978290407504,-74.73893357355637,-17.690035747080053,26-Apr-2023,Healty,20,22
-11.463229491453104,9.239166446013733,-3.3726380091335324,26-Apr-2023,Healty,20,23
35.147293704550464,-17.33441484715467,-15.439481142331186,26-Apr-2023,Healty,20,26
26.21360006987022,-38.50625793206391,3.4283362554699637,26-Apr-2023,Healty,20,27
115.6702451940399,-25.28483707268587,-2.5748864917418954,26-Apr-2023,Unhealty,20,11
45.331715854949955,20.130950405482306,-4.43752161907087,26-Apr-2023,Unhealty,20,12
106.83874331272979,1.911392806368486,-7.833981088765254,26-Apr-2023,Unhealty,20,14
12.284979268267668,-3.8197115218105226,-10.703319934658293,26-Apr-2023,Unhealty,20,15
47.28107619908126,3.805706200011124,-20.85483230867871,26-Apr-2023,Unhealty,20,16
74.3288581474799,17.981510897129304,-17.7091922538742,26-Apr-2023,Unhealty,20,18
59.83302976457641,-56.784518681837056,-0.19569288030636284,26-Apr-2023,Unhealty,20,28
50.905478304382655,-7.876476094852579,-25.350621488271734,26-Apr-2023,Unhealty,20,29
56.162345648982765,-15.660085311937811,-22.32282313232398,26-Apr-2023,Unhealty,20,31
-28.022829608477192,-19.245727995597733,-16.888122789395002,26-Apr-2023,Unhealty,20,32
35.72231838308044,12.866992195829457,-22.273468991836904,26-Apr-2023,Unhealty,20,33
