Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,LV,Max Variables,accuracy,recall,precision,f1,cutoff,nLV
52,0,0.1,7,431.000 - 440.000 - 1267.000 - 1674.000 - 1854.000 - 2354.000 - 2443.000,5.0,7.0,0.65,0.5789473684210527,0.6470588235294118,0.6111111111111112,0.5,5.0
52,1,0.1,7,533.000 - 959.000 - 1274.000 - 1651.000 - 1852.000 - 1881.000 - 2225.000,5.0,7.0,0.65,0.5789473684210527,0.6470588235294118,0.6111111111111112,0.5,5.0
52,2,0.1,7,1076.000 - 1352.000 - 1418.000 - 1419.000 - 1455.000 - 1458.000 - 1670.000,7.0,7.0,0.725,0.7894736842105263,0.6818181818181818,0.7317073170731707,0.5,7.0
52,3,0.1,7,416.000 - 425.000 - 536.000 - 1192.000 - 1454.000 - 1854.000 - 1871.000,4.0,7.0,0.675,0.631578947368421,0.6666666666666666,0.6486486486486487,0.5,4.0
52,4,0.1,7,403.000 - 406.000 - 435.000 - 667.000 - 993.000 - 1428.000 - 1852.000,3.0,7.0,0.625,0.5263157894736842,0.625,0.5714285714285714,0.5,3.0
52,5,0.1,7,963.000 - 1086.000 - 1225.000 - 1677.000 - 1959.000 - 1973.000 - 2264.000,6.0,7.0,0.7,0.5789473684210527,0.7333333333333333,0.6470588235294118,0.5,6.0
52,6,0.1,7,536.000 - 1219.000 - 1359.000 - 1454.000 - 1655.000 - 1664.000 - 1966.000,6.0,7.0,0.675,0.5789473684210527,0.6875,0.6285714285714286,0.5,6.0
52,7,0.1,7,404.000 - 433.000 - 1004.000 - 1354.000 - 1615.000 - 1852.000 - 2260.000,6.0,7.0,0.65,0.5263157894736842,0.6666666666666666,0.5882352941176471,0.5,6.0
52,8,0.1,7,541.000 - 796.000 - 1266.000 - 1362.000 - 1870.000 - 2207.000 - 2360.000,2.0,7.0,0.65,0.5789473684210527,0.6470588235294118,0.6111111111111112,0.5,2.0
52,9,0.1,7,411.000 - 1237.000 - 1880.000 - 1886.000 - 1957.000 - 2085.000 - 2265.000,4.0,7.0,0.675,0.5789473684210527,0.6875,0.6285714285714286,0.5,4.0
