Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,LV,Max Variables,accuracy,recall,precision,f1,cutoff,nLV
26,0,0.1,135,135 wavelengths,4.0,140.0,0.6410256410256411,0.5789473684210527,0.6470588235294118,0.6111111111111112,0.5,4.0
26,1,0.1,135,135 wavelengths,6.0,140.0,0.7435897435897436,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5,6.0
26,2,0.1,140,140 wavelengths,7.0,140.0,0.717948717948718,0.631578947368421,0.75,0.6857142857142857,0.5,7.0
26,3,0.1,134,134 wavelengths,10.0,140.0,0.7948717948717948,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.5,10.0
26,4,0.1,137,137 wavelengths,8.0,140.0,0.7435897435897436,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.5,8.0
26,5,0.1,136,136 wavelengths,7.0,140.0,0.6923076923076923,0.631578947368421,0.7058823529411765,0.6666666666666666,0.5,7.0
26,6,0.1,137,137 wavelengths,8.0,140.0,0.7692307692307693,0.631578947368421,0.8571428571428571,0.7272727272727273,0.5,8.0
26,7,0.1,137,137 wavelengths,4.0,140.0,0.6410256410256411,0.5789473684210527,0.6470588235294118,0.6111111111111112,0.5,4.0
26,8,0.1,135,135 wavelengths,6.0,140.0,0.717948717948718,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,6.0
26,9,0.1,136,136 wavelengths,10.0,140.0,0.7948717948717948,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.5,10.0
26,10,0.1,134,134 wavelengths,4.0,140.0,0.6666666666666666,0.5789473684210527,0.6875,0.6285714285714286,0.5,4.0
26,11,0.1,136,136 wavelengths,7.0,140.0,0.717948717948718,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,7.0
26,12,0.1,136,136 wavelengths,4.0,140.0,0.6666666666666666,0.5789473684210527,0.6875,0.6285714285714286,0.5,4.0
26,13,0.1,133,133 wavelengths,4.0,140.0,0.5897435897435898,0.5263157894736842,0.5882352941176471,0.5555555555555556,0.5,4.0
